word,sentence
جداشدن,این سامانه با اتصال یک تراشه به فرد هر دقیقه یک پالس رادیویی به مرکز داده اطلاعات می فرستد و اطلاعات یاد شده را ارسال می کند و به محض جداشدن سامانه از فرد زندانی، زنگ هشدار به صدا در می آید
پرکننده,کد خبر: ۲۱۸۸۴   تاریخ انتشار: ۱۳۹۳/۱۲/۲۰ هندی هل دارچین و زنجبیل که در کنار پرکننده ها
کشدار,آیت الله خاتمی افزود: همچنین در تنظیم قرارداد، مسوولان محترم هسته ای مواظب واژه ها باشند و مراقب باشند واژه های کشدار، دام دشمنان شماست که می خواهند شما را در آن دام بیاندازند لذا همانگونه که رهبر معظم انقلاب فرمودند باید قرارداد کاملا شفاف تدوین شود
واداشتن,» با توجه به آنچه ذكر شده، پرواضح است كه برترين دستاورد يك اثر هنري، به تفكر واداشتن مخاطب خود است
علفی,حریق منابع طبیعی را به ۱۵۰۴ گزارش کنند وی افزود: به دنبال بارش‌های بهاره افزایش پوشش علفی در مناطق مختلف صورت گرفته که با آغاز فصل گرما این پوشش گیاهی خشک و مستعد وقوع حریق می شود
خمار,کد خبر: ۴۱۲۸۷   تاریخ انتشار: ۱۳۹۶/۰۴/۲۱ پیامبر اکرم ص حجاب زنان خمار بوده که لباسی مشکی
گند,خانم گند‌مي، د‌بيركل حزب مجمع مشورتي اصلاح‌طلبان رفت بالاي پله‌ها و از مرد‌م به خاطر لغو برنامه عذرخواهي كرد‌ و گفت د‌اد‌ستاني هيچ د‌ليلي را براي لغو اين برنامه ارايه نكرد‌ه است و از مرد‌م خواست تا براي پذيرايي و ناهار به سلف د‌انشگاه علوم پزشكي بروند‌، اما وقتي به آنجا هم رفتيم با ماموران مواجه شد‌يم و اجازه ورود‌ به ما ند‌اد‌ند‌
تاباندن,متن : به گزارش مهر، دانشمندان موسسه Bio-X دانشگاه استنفورد که در زمینه اکتشافات بدن انسان و بیماری ها کار می کنند، با استفاده از ژن درمانی یک موش را به گونه ای دست ورزی کردند که حساسیت آنها به درد با تاباندن نور به پنجه هایشان، تغییر کرد
سیه,تعاملات و همکاریهای حقوق بشری و قضایی هستیم رُسیه با
حنبلی,، و همچنین علمای شافعی و حنبلی اهل سنت معتقدند اگر تمام نمازگزان زن باشند، امام جماعت نیز می تواند زن باشد
تاباندن,"موثرترین درمان شناخته شده برای این بیماری استفاده از داروی ""متوکسی سورالن"" و بقیه ترکیبات آن و تاباندن اشعه ماورای بنفش به پوست مبتلاست"
درخشیدن,هشدار: منازل خود را قبرستان نکنید!   قرآن، دریائی از نور و رحمت است که در هر کجا قرار بگیرد، آنجا را متبرک نموده و به درخشیدن وامیدارد
