word,sentence
ابادان,کد خبر: ۶۷۵۷۷۷   تاریخ انتشار: ۱۳۹۵/۰۵/۱۴ و دوستداشتنى صنعت نفت ابادان ٣-به شدت معتقدم که فوتبال
ابادان,کد خبر: ۶۷۰۷۵۲   تاریخ انتشار: ۱۳۹۵/۰۴/۱۵ حنیف عمران‌زاده به صنعت نفت آبادان پیوست مدافع فصل گذشته استقلال به تیم صنعت نفت ابادان پیوست
خواباندن,وقتي زبان به شرح حادثه گشود، بار ديگر روايت‌هاي ديگر  شاكيان تكرار شد: «سوار شدن در پرايد شيشه دودي، حمله فرهاد به صندلي عقب،  ضرب و شتم شديد، خواباندن كف ماشين، شيشه، قمه و تعرض
اوردن,دیدری که به همراه فرزند خود در این برنامه شرکت کرده بود گفت منویات رهبری در بدست اوردن کشوری پویا و بالنده فقط در گرو حمایت از کالای داخلی رخ می دهد و سربازان این پیکار علاوه بر پدر و مادر ها فرزندان ایرانی اند که در صورت عدم حمایت از تولید ملی اینده مبهمی در مورد اشتغال خواهند داشت
شتری,کد خبر: ۲۳۲۹۹   تاریخ انتشار: ۱۳۹۴/۰۴/۰۸ غربالی لب شتری خیارک آلو لکه آجری بادام پوسیدگی قهوه
شتری,کد خبر: ۲۲۷۷۲   تاریخ انتشار: ۱۳۹۴/۰۳/۰۷ لب شتری خیارک آلو لکه آجری بادام پوسیدگی قهوه ای
پرکننده,"کد خبر: ۶۹۱۷۸۰   تاریخ انتشار: ۱۳۹۵/۰۸/۲۱ رزین پرکننده نرم کننده و آنتی اکسیدان ها بر ""پایه"
تمثیل,خوبی قصه‌ها هم این است که درست مثل تمثیل هرجا که جایش بود، می‌توانی آن را برای گفتن حرفی تعریف کنی و البته شنوندگانت را هم بخندانی
خز,3- مراد این باشد که فرمان خدا برای کل عالم هستی اعم از تکوینی و تشریعی اولا و بالذات بسوی شما است و از سمت شما بسوی خلایق، و این شما هستید که اوامر تکوینی و تشریعی خداوند در قلب مقدس شما تبدیل به عزم و تصمیم می شود چرا که شما ظرف علم خدا و ظرف مقادیر امور هستید : «عیبه علم الله»، معادن حکمه الله مهبط الوحی، خزّان العلم، حفظه سرّ الله» فلذا در حدیث آمده که بر امر امامت با سوره قدر احتجاج کنید چرا که خداوند در این سوره می فرماید: «تنزل الملائکه و الروح فیها من کل امر» و شکی نیست محل نزول ملائکه همان قلب انسان کامل است؛ نه محل ظاهری و مادی بدلیل: «و انه لتنزیل رب العالمین نزل به الروح الأمین علی قلبک لتکون من المنذرین» شعراء 194 و «فانه نزله علی قلبک» بقره 97 بعبارت دیگر مراد از این جمله این باشد که شما مَظهَر و مُظهِر اوامر الهی هستید چنانچه در جمله ی دیگری در همین زیارتنامه می خوانیم: «والمظهرین لأمرالله و نهیه» و شاید به همین خاطر باشد که در حدیث وارد شد «لیله القدر فاطمه من ادرکها فقد ادرک لیلة القدر» (مسند فاطمه الزهرا عطاردی) چرا که شب قدر ظرف نزول ملائکه است و ظرف تقدیر امور و فاطمه نیز طبق احادیث صحیحه ی کافی بعد از پیامبر صلی الله علیه وآله جبرئیل بر او نازل می شد و ما کان و مایکون را برای او بیان می نمود فلذا چقدر دقیق و چقدر عمیق سروده است مرحوم محقق اصفهانی آنجا که در شأن مجلله فرموده است: لیله قدر اولیاء، نور نهار اصفیا                      صبح جمال او طلوع از افق علی کند و مهمتر از این فرموده:
فراش,او را بر فراش خود دیدم
