word,sentence
تمثیل,اما در بخش‌هاي مربوط به ادبيات، رمانِ «راه‌آهن زیرزمینی» نوشته کالسون وایت‌هد، نويسنده آمريكايي به‌خاطر تلفيق هوشمندانه رئاليسم و تمثیل، جايزه ادبيات داستاني را از آن خود كرد
فراگرفتن,سقوط داعش در موصل؛ نقش تعیین‌کننده مرجعیت و حشد الشعبی در تغییر معادلات نبرد ۹ تير ۱۳۹۶ ساعت ۱۷:۴۹ متعاقب صدور فتوای مرجعیت، جوانان عراقی که آموزش‌های لازم را برای جنگ ندیده بودند به مراکز نظامی رهسپار شدند تا ضمن فراگرفتن آموزش‌های لازم به میدان‌های نبرد با داعش عازم شوند
فراگرفتن,متعاقب صدور این فتوا، فوج فوج از جوانان عراقی که آموزش‌های لازم را برای جنگ ندیده بودند به مراکز نظامی رهسپار شدند تا ضمن فراگرفتن آموزش های لازم به میدان های نبرد  با داعش عازم شوند
جاافتاده,برایمان عجیب و غیرقابل باور نیست؛ اما نکته آنکه فرهنگ استفاده از برخی محصولات برای مردم جاافتاده و عده‌ای دیگر نیز همچنان هراس دارند که نکند محصول تولیدشده برایشان مشکل‌ساز شود
جاافتاده,برایمان عجیب و غیرقابل باور نیست، اما نکته آنکه فرهنگ استفاده از برخی محصولات برای مردم جاافتاده و عده‌ای دیگر نیز همچنان هراس دارند که نکند محصول تولیدشده برایشان مشکل‌ساز شود
گماشتن,این مسؤول بر ضرورت حمایت از کارآفرینانی که برای به کار گماشتن معتادان بهبودیافته‌ اقدام کرده‌اند، تاکید و تصریح کرد: این حرکت آنها باید مورد توجه قرار گرفته و از آنها تقدیر به عمل آید
ایین,** هدف 8 میلیون تنی در 96 مدیرعامل شرکت ملی فولاد ایران موضوع دستیابی به صادرات هشت میلیون تنی فولاد را برای سال 96 خاطرنشان کرد و گفت : پارسال حدود 6 میلیون تن صادرات در ایین بخش ثبت شد که واحد های فولاد خوزستان و مبارکه اصفهان سهم شاخص را در این زمینه داشتند
اژانس,» این واکنش صریح حمید بعیدی نژاد رئیس هیات ایران در مذاکرات کارشناسی هسته ای آن هم دو روز پس از آخرین گزارش اژانس بین المللی انرژی اتمی است
گند,گند زدید با این بانکداریتون
صادرکردن,کد خبر: ۷۳۱۴۲۹   تاریخ انتشار: ۱۳۹۶/۰۵/۱۲ بیانیه صادرکردن مصاحبه کردن مقاله نوشتن نه تخریب نه تهمت
