word,sentence
انباشتن,نوع نگاه عربستان به ايران چگونه است؟ اينك اگر بيداري اسلامي را شاخص سياست خارجي خود قرار دهيم بايد بنگريم كه  تقويت روابط با عربستان، كداميك از جهت هاي چهارگانه ارتباط ايران با  بيداري اسلامي را به جهات موردنظر عربستان مي رساند و اصلا آيا كمترين  زمينه اي براي قرينه سازي نگاه ايران و عربستان در قبال بيداري اسلامي را  مي توان ايجاد كرد؟ مضاف برآنكه بايد ديد در اوضاع كنوني، تلاش ايران براي  تقويت روابط با عربستان تا چه ميزان مي تواند ثمربخش باشد؟ در شرايطي كه  عربستان: 1-      تبديل به يكي از بزرگترين پايگاه هاي نظامي دشمن اصلي ايران يعني امريكا شده است 2-     ملك عبدالله ذره اي نگاه مثبت به ايران و نظام جمهوري اسلامي ندارد 3-     با خريد چندين ميليارد دلار سلاح از امريكا و انباشتن آن در خاك خود، آرزوي نابودي ايران را در دل مي پروراند 4-     مدام در پي اتهام افكني عليه ايران است كه آخرين آن همدستي با امريكا و صهيونيزم بين الملل براي تروريست نشان دادن ايران بود 5-     پس از گذشت بيش از 30 سال از عمر انقلاب اسلامي ايران، هنوز رفتار مناسبي با زائران ايراني در حريم امن الهي ندارد 6-     با آغاز ايام حج تمتع، سنت اعلام برائت از مشرکان در موسم حج را بر  هم زدن امنیت حجاج خوانده و هشدار داده است که با هر اقدامی که امنیت و  سلامت حجاج بیت‌الله الحرام را تهدید کند، به شدت مقابله می‌کند؛ حال آنكه  در انديشه حضرت امام (ره) حج بدون برائت مقبول نيست
نگاشتن,حس و حال من مستغني است از ديدارها و شنيدارها و دانستن‌هاي رايج و مرسوم در نگاشتن اين صفحه
خمار,«در کام جان تشنه‌دلان ريز جرعه‌اي/ زان خمر بي‌خمار که آن قوم ذائق‌اند» شب دارد تمام مي‌شود و من با خود مي‌انديشم به حکمت اين تلاقي عجيب پاسداران مظلوم سرزمينم با خطه شمال غرب
نخودی,وی بهترین شیرینی برای عید را شیرینی‌های نخودی عنوان کرد و افزود: این نوع شیرینی‌ها فسادپذیری کمتری داشته و درصورت مناسب‌بودن شرایط نگهداری می‌توان آنها را تا یک سال نیز نگهداری کرد
اژانس,""" بازرسان صلح یا طراحان ترور سایت شفاف در یادداشتی که به موضوع سفر بازرسان آژانس به ایران پرداخته بود ضمن مقصر شمردن بازرسان آژانس در ترور دانشمندان هسته ای کشور ، می نویسد «بسیاری از تحلیلگران در ایران آژانس را مقصر اصلی ترور دانشمندان هسته‌ای ایران می‌دانند، چراکه به زعم تحلیل گران و کار‌شناسان، تنها اژانس به اطلاعات مربوط به برنامه هسته‌ای ایران دسترسی دقیق دارد و این بازرسان آژانس هستند که از نزدیک با دانشمندان و مسوئلین هسته‌ای کشور روبه رو می‌شوند و از آنجا که ظرف سال‌های اخیر مکررا مواردی وجود داشته که اطلاعات محرمانه ایران به بیرون درز کرده و باعث سوء استفاده دشمنان ایران و به خصوص رژیم صهیونیستی از این اطلاعات و ترور عده‌ای از دانشمندان هسته‌ای کشور شده است، آژانس یکی از متهمان اصلی اقدامات تروریستی علیه برنامه هسته‌ای ایران است"
خز,وقتی که بیل گرین همکار لینکلن در فروشگاه از قمارباز خرده‌پایی فریب ‌خورد، لینکلن به بیل گفت تا با‌‌ همان قمارباز سر بهترین کلاه خز فروشگاه شرط ببند که لینکلن می‌تواند بشکهٔ ویسکی را از روی زمین بلند کند و‌‌ همان طور که بالای سر نگه داشته‌ از دهانه‌اش بنوشد  متن : تاریخ ایرانی- ترجمه: عباس زندباف: فیلم آبراهام لینکلن ساختهٔ استیون اسپیلبرگ شاید نسبت به فیلم �آبراهام لینکلن: شکارچی خون آشام� به لحاظ تاریخی دقیق تر باشد و خیلی بیشتر بخت دریافت جایزهٔ اسکار را داشته باشد اما �آبراهام لینکلن: شکارچی خون آشام� نیز در به تصویر کشیدن شانزدهمین رییس جمهور در قامت بزن بهادر دوران مستعمرات به بیراهه نرفته است
خز,وقتی که بیل گرین همکار لینکلن در فروشگاه از قمارباز خرده پایی فریب  خورد، لینکلن به بیل گفت تا با   همان قمارباز سر بهترین کلاه خز فروشگاه شرط ببند که لینکلن می تواند بشکهٔ ویسکی را از روی زمین بلند کند و   همان طور که بالای سر نگه داشته  از دهانه اش بنوشد (آبراهام لینکلن نوشتهٔ کارل سندبرگ، ۱۹۲۶)
خز,قمارباز کلک هم چاره ای نداشت تا پول کلاه خز را بپردازد
خز,وقتی که بیل گرین همکار لینکلن در فروشگاه از قمارباز خرده‌پایی فریب ‌خورد، لینکلن به بیل گفت تا با‌‌ همان قمارباز سر بهترین کلاه خز فروشگاه شرط ببند که لینکلن می‌تواند بشکهٔ ویسکی را از روی زمین بلند کند و‌‌ همان طور که بالای سر نگه داشته‌ از دهانه‌اش بنوشد تاریخ ایرانی- ترجمه: عباس زندباف: فیلم آبراهام لینکلن ساختهٔ استیون اسپیلبرگ شاید نسبت به فیلم «آبراهام لینکلن: شکارچی خون‌آشام» به لحاظ تاریخی دقیق‌تر باشد و خیلی بیشتر بخت دریافت جایزهٔ اسکار را داشته باشد اما «آبراهام لینکلن: شکارچی خون‌آشام» نیز در به تصویر کشیدن شانزدهمین رییس‌جمهور در قامت بزن‌بهادر دوران مستعمرات به بیراهه نرفته است
خز,وقتی که بیل گرین همکار لینکلن در فروشگاه از قمارباز خرده‌پایی فریب ‌خورد، لینکلن به بیل گفت تا با‌‌ همان قمارباز سر بهترین کلاه خز فروشگاه شرط ببند که لینکلن می‌تواند بشکهٔ ویسکی را از روی زمین بلند کند و‌‌ همان طور که بالای سر نگه داشته‌ از دهانه‌اش بنوشد (آبراهام لینکلن نوشتهٔ کارل سندبرگ، ۱۹۲۶)
خز,قمارباز کلک هم چاره‌ای نداشت تا پول کلاه خز را بپردازد
صادرکردن,در سال‌های ابتدایی پیروزی انقلاب اسلامی در مقاطعی ناچار به اعزام و صادرکردن دانشجو در برخی رشته‌ها و مقاطع بودیم، چراکه در کشور یا ظرفیت دانشگاه‌های پاسخگوی متقاضیان نبود و یا آنکه کرسی رشته مدنظر دایر نبود اما امروز با گذشت بیش از سه دهه از آنها سال‌ها، این پدیده شکل دیگری به خود گرفته است، یعنی تقریبا تمامی رشته‌ها و مقاطع در دانشگاه‌های ایران تدریس می‌شود، اما همچنان تعدادی از دانشجویان به دلایل مختلف برای ادامه تحصیل کشور را ترک می‌کنند
ایجادکردن,ستاد انتخابات استان تهران: به هیچ نامزدی اجازه خدشه‌دار کردن قوانین را نخواهیم داد تاریخ انتشار : سه شنبه ۲۸ دی ۱۳۹۵ ساعت ۱۱:۱۵ رئیس ستاد انتخابات استان تهران با بیان اینکه به هیچ نامزد و هواداری اجازه خدشه‌دار کردن قوانین را به بهانه کسب رأی نخواهیم داد تصریح کرد هر موضع‌گیری تحریک آمیز و شبهه ایجادکردن در انتخابات خیانتی بزرگ برای لطمه زدن به اعتماد عمومی شناخته می‌شود
کشدار,داستان  خانه‌های مصادره‌ای در نقاط مختلف شهر و به‌خصوص در شمال تهران از سه دهه  قبل تا به حال به شکلی کشدار ادامه دارد و هرروز در پرونده‌ای جدید هر کدام  سرنوشتی پیدا می‌کنند
ایین,گفتنی است این جدول مطابق با ایین نامه نحوه نظارات بر بیمه های اتکایی موسسات بیمه مستقیم و ضوابط اجرایی ماده 20 آیین نامه 40/5 مصوب شواری عالی بیمه تدوین شده است
واداشتن,راهکارها ـ به خاطر داشته باشید بچه‌ای که بحث می‌کند، بچه‌ای است که تحت فشار است و واداشتن او به بیان احساساتش بهترین راه رها ساختن او از این فشارها خواهد بود
فکرکردن,تخمه‌هاي کدوحلوايي منابع سرشار از روي و اسيدهاي چرب امگا3 هستند و مهارت و توان مغز را بالا مي‌برد و به فکرکردن بهتر و سريع‌تر کمک مي‌کنند
نخودی,طول جثه آن 20 سانتی‌متر است، پر و بال خال خالی سفید نخودی دارد و صدایی  دارد که این پرنده را از سایر جغدها متمایز می‌کند
پیچاندن,اهل پیچاندن نباشد
خواباندن,کامل‌کننده این محیط بکر برای سرنشینانِ احتمالا خاصِ صندلی‌های عقب، پشتی تاشو قسمت میانی صندلی‌هاست که با خواباندن آن، یک کنسول میانی شیک با محفظه‌های جداگانه و کنترلگر‌های مخصوص صندلی‌ها، سیستم صوتی و سیستم تهویه عقب بین آنها پدیدار می‌شود
شیلینگ,در این زمان، واحد پول انگلستان پوند استرلینگ (برابر با ۲۰ شیلینگ) بود و یک تومان ایران معادل ده پوند انگلستان ارزش داشت
دریده,2M آغازگر لیست ما بیش از آن‌که ماشین باشد، حیوانی است که قلاده‌اش را دریده
جداشدن,خانواده محل آرامش و مهد احساس امنیت انسان است و تا روزی که هر فرزندی به استقال برسد و تشکیل خانواده دهد، از پیکره خانواده و مزایای آن بهره مند می شود و حتی پس از جداشدن از خانواده، کانون خانوادگی همچنان باید به عنوان پناهگاه و دژ محکمی برای زنان و مردان جوان باقی بماند و در موارد لزوم به آنها انرژی معنوی مثبت و سازنده تزریق کند؛ یعنی باید کانون خانواده موقعیت ممتاز خود را برای حمایت مادی، معنوی، عاطفی
تاباندن,» این استاد دانشگاه با بیان اینکه اینگونه سیستم انتخاباتی فساد را در اقتصاد ایران نهادینه می کند گفت: «شفافیت نقطه مقابل فساد است و باید کاری کرد که شفافیت به اقتصاد ایران برگردد و تاباندن نور به تاریکخانه مفسدین می تواند جلوی فساد را بگیرد
علفی,وجود 1072 گونه علفی و 97 گونه چوبی در این منطقه کوچک، نشانه تنوع زیستی گیاهی بسیار زیاد آن است و مهم‌ترین مشخصه آن محسوب می‌شود
ایین,مهندس فروزان مدیر عامل منطقه ازاد ماکو نیز دراین ایین با اشاره به توسعه حوزه های علمیه در منطقه ازاد ماکو گفت با توجه به شتاب توسعه و پیشرفت در شهر شوط که از منطقه آزاد ماکو است با تاسیس حوزه علمیه سفیران هدایت روند پیشرفت مسائل دینی و فرهنگی هم در منطقه آزاد ماکو با رونق بیشتری روبرو می شود
افسونگر,فیلم افسونگر از تاریخ ۴ اسفند  جایگزین فیلم چهار اصفهانی در بغداد در سرگروه ماندانا خواهد شد
سیه,کد خبر: ۶۸۲۹۸۴   تاریخ انتشار: ۱۳۹۵/۰۶/۲۸ درگزی / طراح گریم زهره سیه پوش / مدیر صدابرداری
سیه,ناصرى/ دستیار لباس مهسا شکیب / مجرى گریم محمد سیه
تاباندن,در یک محیط تعاملی کاربر می تواند هر نوع آینه و عدسی را انتخاب کرده، شی را در مکان دلخواه قرار داده و تصویر آن را مشاهده کند و یا با تاباندن پرتو ها در زوایای متفاوت تصاویر حقیقی ومجازی را در مکان های مختلف مشاهده کند و به قانون های تشکیل تصویر در آینه ها و عدسی ها پی برد
