word,sentence
درخشیدن,به نظر می رسد دختر جمشید اسماعیل خانی، سمپاتی خاص مادرش  را برای درخشیدن در سینما ندارد اما شاید بتواند به عنوان بازیگری متفاوت،  تجربه های متفاوتی نیز به دست بیاورد
ردشدن,جمله‌ای به نقل از «استیفن هاوکینگ» است که حتی اگر به تقدیر هم اعتقاد داشته باشید باز هم برای ردشدن از خیابان به دوطرف نگاه می‌کنید! تفاوت بین احساس خطر و در معرض خطر قرارگرفتن نکته ظریفی است
دریده,تاريخ انتشار: 10:42 - ۱۳۹۵ چهارشنبه ۱۷ شهريور کد خبر: 60628 تعداد نظرات : 0 پول‌های میلیاردی که با ریختن خون به جیب می‌رود!/قمار با طعم سلاخی حیوانات شرط بندی بر روی سگ یا خروس پیروز،حاصل نبرد خونین دو جانوری است که به دلیل زیاده خواهی برخی انسان ها،با جراحت و دریده شدن حیوانات همراه می شود
ایین,امین با بیان اینکه مطالعاتی نیز در زمینه چگونگی ساماندهی بازار فروش بیمه ها انجام شده است، عنوان کرد: مقرارت گذاری و تدوین ایین نامه های لازم از دیگر اقدامات بیمه مرکزی است که طی یک سال قبل بیش از پنج ایین نامه جدید در شورای عالی بیمه تدوین شد
امدن,اگه بشه یه اتم رو هرچقدر که دلت خواست رو هوا معلق نگه داری چرا یه سیب رو نتونی؟ و اگه یه سیب رو بتونی چرا یه شهر رو نتونی؟»  روزالیند لوتس، 1890، 22 سال قبل از امدن بوکر به کلمبیا   در یکی از Voxophone ها که بعد از آشنا شدن لوتس ها با هم ضبط شده داریم:   «میدان لوتسی اتم کوانتومی منو با موجهایی از نور درگیر کرد که بهم اجازه داد با امنیت بیشتری اونو اندازه بگیرم
جاافتاده,خانواده عزیزیان - خانواده همسر مرحوم طبسی- معمار جاافتاده و
دریافتن,اگرچه مطهری در هیچ بخشی از سخنانش نگفت که قصد او زیر سوال بردن اقدام مجلس در رد گزینه‌های پیشنهادی قبلی دولت برای وزارت علوم بوده اما در حین حال رمزگشایی اظهارات مطهری و دریافتن منظور او از سخن گفتن در مخالفت با وزیر پیشنهادی علوم هم کار سختی نیست همچنان‌که نمایندگان مجلس پیش از شنیدن سخنان او و به صرف اعلام نام مطهری به عنوان مخالف محمد فرهادی صدای اعتراض خود را بلند کردند و بعدتر در خلال صحبت‌هایش نیز بارها واکنش‌های منفی به او نشان دادند
گند,» نهاوند‌یان  قیافه‌اش د‌ر هم رفت و گفت: «واه واه چی چی رو ترکوند‌ه؟ من که توی روزنامه  خوند‌م گند‌ زد‌ه
کشدار,*«نسیم»: شما مبدأ این انحراف را فتنه 88 می دانید؟ اصلاح طلبان از 76 یاد گرفتند که با مانور بر سر مرزهای کشدار عقیدتی رای جمع کنند داریوش سجادی: خیر! 88 برون ریخت اش بود
کشدار,"ولی این آرای بیست ملیونی،  جناح چپ انقلاب را دچار توهم و اشتباه کرد چون دیدند می توانند با ذره ای  مانور روی ""مواضع کشدار""، ""آرای مسئله دار"" را هم جذب کنند و آمار را بالا  ببرند"
فکرکردن,مدیر موفق کسی است که فرصت کافی برای فکرکردن داشته باشد، آرامش داشته باشد، با طیف متفکر و نخبه جامعه از طریق نشریات ارتباط مستمر داشته باشد و  به‌روز باشد
کوفتن,در این سخنرانی، او دقیقا دو هدف را دنبال کرد؛ حمله به حسن روحانی و دولت و همین طور کوفتن بر طبل تخلفات گسترده انتخاباتی
واداشتن,معاون اول رییس جمهوری با بیان این که بیشتر طرح های اقتصاد مقاومتی متعلق به جهاد کشاورزی است، یادآور شد: جهادکشاورزی بهترین عملکرد را بین سایر دستگاه ها داشته است وی همچنین گفت: یکی از مهم ترین اهداف طرح های 120 گانه به حرکت واداشتن تولید در بخش های کشاورزی و صنعتی کشور و توسعه صادرات است
پیچاندن,متجاوزان و حامیانشان که در محاسبات خویش، ایران بریده از «غرب» و «شرق» را تنها و «بی‌پشتوانه» می‌پنداشتند، از رشید شدن کودکان ۱۵ خرداد ۴۲، اطلاع و تحلیل درستی نداشتند و به اعتبار «عده» و «عده» خود به دنبال بهره‌گیری از به اصطلاح فرصتی تاریخی برای ایجاد تغییر راهبردی در جغرافیای منطقه و در هم پیچاندن طومار انقلاب اسلامی بودند
فکرکردن,به نظرم یک اتفاق درونی است، یک بخشی از آن می‌شود تمرکز، یک بخشی از آن می‌شود فکرکردن راجع به اینکه آن کاراکتر را درک کنی، خودت را بتوانی جای او بگذاری و بعد بتوانی بازی کنی که مصنوعی نشود و بیننده یک جاهایی هم دلش بسوزد
ردکردن,ردکردن چنین تقاضایی برای من سخت است
سنجیدن,تاکید رسانه‌ها بر برخی پرونده‌ها می تواند با ایجاد هیجان در جامعه، رسیدگی قضایی را تحت تاثیر قرار دهد، این در حالی است که تصمیمی که قاضی در جو هیجانی اتخاذ می‌کند، الزاماً عادلانه نیست و در چنین فضایی، قاضی باید با سنجیدن تمامی جوانب اتخاذ تصمیم نماید
سیه,این فیلم که به صورت گسترده در میان هواداران این خواننده سیه چرده دست به دست شده بود، تا مدت‌ها تیتر یک رسانه‌های جهان بود
گماشتن,کد خبر: ۲۷۷۴۳۲   تاریخ انتشار: ۱۳۹۶/۰۵/۱۴ های دیگری مثل گماشتن افراد دارای پرونده های فساد مالی
جاانداختن,سرنگون کردن جنگنده روسیه نیز برای فشار و جاانداختن طرح ضرورت تفکیک نیروهای پیکارجوی مورد حمایت برخی کشورها در حملات هوایی بوده است، آنکارا امیدوار است منطقه حایلی ایجاد کند تا از پرواز جنگنده های روسیه و سوریه و بمباران پایگاهها و مراکز تروریستهای مورد حمایت خود و کشورهای منطقه جلوگیری کند
ساییدن,اگر ساییدن به آهستگی و همراه با فکر کردن و لبخند باشد، به این معنی است که فرد در فکر حیله ای است و از سود آن خوشحال است
ساییدن,ساییدن صورت و مشخصا چانه به معنی فکر کردن سنجیده و تصمیم گیری است
سنجیدن,به معنی فکر کردن سنجیدن و تصمیم گرفتن است
