word,sentence
پرکننده,درجه بندی نه برای توسعه سینما، بلکه برای کانالیزه کردن و ترویج یک تفکر و تلقی خاص از سینما بود که با سینمای مخاطب عام و سینمای پرکننده اوقات فراغت متفاوت بود و سینماها را خالی کرد
جادادن,با آن که در آپارتمان‌های کوچک مشکل قرار دادن وسایل اضافه بیش‌تر خود را نشان می‌دهد، با کمی دقت می‌توان از بسیاری از جاهای بی‌استفاده برای جادادن این وسایل دست‌وپاگیر استفاده کرد
بلندکردن,پزشک فیزیوتراپی به شما نحوه صحیح بلندکردن شی،راه رفتن ، و تمریناتی برای استقامت و کشش عضلات پشت ،ساق پا و شکم به شما نشان می دهد
واداشتن,بنابراين به يك تعبير از نظر يوسا رمان خوب رماني ناراضي، عصيانگر و تسليم‌ناپذير است زيرا زندگي روزمره را نمي‌پذيرد اما از طرفي ديگر در تقسيم‌بندي رمان، يوسا مي‌گويد «هر رمان خوب راست مي‌گويد و هر رمان بد دروغ مي‌گويد اما راست و دروغ در اينجا باري اخلاقي ندارد بلكه بالعكس منظور از راستگويي در رمان يعني واداشتن خواننده به زيستن در توهم و دروغگويي به معناي ناتواني در نيل به اين حيله است؛ حاصل كار اينكه رمان دروغ مي‌گويد – كار ديگري ندارد كه بكند – اما اين فقط يك روي سكه است
خواباندن,به یک طرف خواباندن فرد، موجب تسهیل تنفس شده؛ و از خفگی جلوگیری می کند
علفی,یکشنبه 22 شهریور 1394 - 13:15:58 | کد مطلب: 307045 چاپ آشنایی با چند خاصیت باور نکردنی گیاه خردل زندگی > تغذیه - همشهری آنلاین: خردل گیاهی علفی، یک ساله و به ارتفاع ۲۰ تا ۶۰ سانتی‌متر است که دارای کرک‌های خشنی است
دوشیزه,می گوید آشنایی آنها سر ساخت فیلم مصائب دوشیزه اتفاق
ضربی,آواز قاسیموف پس از این پیش‌درآمد آشنا، با یک ضربی ابوعطا آغاز شد و آواز شور روی شعر حکیم فضولی به دنبال آن، از زبان مشترک موسیقی دستگاهی ایران و موسیقی موقامی آذربایجان حکایت داشت
سیرکردن,دلیلش هم ساده‌ بود؛  به نظر می‌رسد آنها خیلی هم اهل دروغ و دغل نباشند، به نظر می‌رسد این  زمستان، آنها را هم آن‌قدر تحت فشار گذاشته که مجبور هستند برای سیرکردن  شکم‌شان، دست جلوی دیگران دراز کنند
خمار,با لُنگ دستش را  تا آرنج بسته و از لای موهای سر و صورتش نمی‌شود تشخیص داد چرت می‌زند یا  خمار است
خمار,مرد با چشم‌های خمار این‌ور و آن‌ور را دید می‌زند: «پس کجاس، چرا نیومد، ساعت چنده؟»
اهنگ,پخش وقتی اهنگ مناسب طبع خود را در apple music
