word,sentence
طفیلی,گزارشگر نسیم نجفی دولت با حذف دهک های بالا، سوخت لازم را برای رشد به باک اقتصاد بریزد / پردرآمدها، طفیلی نظام یارانه نقدی چرخ های اقتصاد نمی چرخد و رکود عمیقی که از سال های پیش گریبانگیر اقتصاد کشور شده، هنوز آزار دهنده است
حنبلی,وهابیت از نظر ایدئولوژیکی پیرو اعتقادات ابن تیمیه و از نظر فقهی، مدعی پیروی از مذهب حنبلی است
اهنگ,"صفحه نخست » ویدیو کارتون »     بهترین اهنگ تیتان ها به پیش بهترین اهنگ تیتان ها به پیش تاریخ انتشار : ۲۱:۳۲:۴۴, ۲۰ مرداد ۱۳۹۶"
اجراکردن,‌وسط شهر یک سازه در پیچ تنیده بتنی را اجراکردن کار ساده‌ای نیست ولی این‌که چرا باید صدر را دوطبقه کنند، چهار صفحه مطالعه نداشته است
سیه,گرفته تا فیلم بازجویی آنها را منتشر کنید تا سیه
فتوکپی,کد خبر: ۱۳۵۴۰۹   تاریخ انتشار: ۱۳۹۶/۰۴/۱۰ دفترچه درمانی بیمه شده -اصل و فتوکپی تمامی صفحات شناسنامه
جداکردن,مدیریت یکپارچه آب نباید فدای مدیریت شهری شود علی‌رغم اینکه دولت در حال بررسی طرحی با هدف واگذاری مسئولیت توزیع آب شهری به شهرداری‌ها و جداکردن آن از حیطه مسئولیت آب‌وفاضلاب است، دست‌اندرکاران وزارت نیرو بر این باورند که این موضوع می‌تواند آسیب‌های زیادی را به بدنه مدیریت یکپارچه آب وارد کند
طفیلی,برخی از عروس‌های دریایی بزرگتر طفیلی‌های دیگری هم دارند: مینوماهی‌های کوچکی که درون زنگوله عروس‌های دریایی زندگی می‌کنند تا زمانی که آنقدر بزرگ شوند که بتوانند از پس زندگی در اقیانوس برآیند
جاافتاده,سازمان های قدیمی وجود دارند که جاافتاده هستند و کارشان این است
ارام,کد خبر: ۵۸۷۴۷۲   تاریخ انتشار: ۱۳۹۵/۱۲/۰۴ تلگرام/یوسف ابراهیمی/مازندران/ اینترانت/آرزو جعفری/کرمان / کرمان هفت کام/مسعود براهیمی/دل ارام
سنجیدن,درباره ترامپ و مواضع او از ۲ نظرگاه می‌توان بحث کرد؛ نخست محک مواضع اعلامی و سنجیدن فاصله این اقوال اعلامی با قدرت واقعی اعمالی او است و جنبه دوم، «کارکرد»ی است که مواضع او می‌تواند داشته باشد
اوردن,برای در اوردن چند تومان بیشتر پول به شهری که
شتری,کد خبر: ۵۷۷۳۵   تاریخ انتشار: ۱۳۹۴/۰۵/۱۸ شتری که شاهد عقد شد +تصاویر دهد رئیس این هتل یک شتر لامای پشمالو و تپل
شتری,زارچ شتری که برای استفاده در مراسم تعزیه آذین بندی
هییت,هاشم از تهران ۱۹ + ۰ - پاسخ مسئله اصلی در این موضوع، کش دادن و کشتن زمان از طرف تمام عوامل و مسئولا ورزش استان و حتی خود هییت مدیره تراختور هست، چرا که همه میدونستند که استادیوم اختصاصی تراختور چه اوضاعی داره ولی اقدامی نکردند، باغشمال را هم که کلا موضوع را امنیتی کردند(مراجعه شود به مصاحبه چاپ شده از ششگلانی در همین کاپ) ، کلا چه در تبریز برگزار شود و چه نشود، این موضوع دست کادر و مدیریت را برای بهانه گیری در عدم نتیجه گیری احتمالی باز میذاره، هرچند که اشاره ایشون به احترام به خواسته هوادار قابل تقدیره
امدن,کد خبر: ۹۳۰۵۶   تاریخ انتشار: ۱۳۹۵/۰۱/۲۸ کد خبر: ۹۲۷۸۳   تاریخ انتشار: ۱۳۹۵/۰۱/۲۶ بیادی از حامیان روی کار امدن احمدی نژاد: که صادق زیباکلام می گوید اصولگرایان غرورشان اجازه نمی دهد
