word,sentence
جداکردن,**سوسیس و کالباس حتما سرطانزاست عبداللهی  گفت: سازمان بهداشت جهانی اعلام کرده است که مصرف روزانه 50 گرم سوسیس یا  کالباس حتما باعث بروز سرطان می شود و باید مصرف  این مواد غذایی مضر به  حداقل برسد، گوشت قرمز نیز حداکثر باید دو بار در هفته مصرف شود و گوشت  سفید نیز مانند گوشت مرغ باید پس از جداکردن پوست آن که محل تجمع چربی های  مضر است، مصرف شود
دریده,پدر و مادر کودک که در کشتزار سرگرم برداشت محصول بودند پس از این حادثه همراه با روستائیان به تعقیب گرگ پرداختند اما فرزند ربوده شده‌شان را با پیکری دریده و خونین در میان بوته‌زار یافتند و او را
ایین,نایب رئیس انجمن آسیب‌شناسی ایران معتقد است که وزیر بهداشت بدون در نظر گرفتن ابعاد موضوع و تحت تأثیر لابی نسبت به امضای یک ایین نامه اقدام کرده که با این امضاء سلامت مردم به خطر خواهد افتاد
فکرکردن,به جواب‌هايي کم و بيش شبيه هم مي‌رسيم مثلاً: «بعد از آخرين روز امتحان آن‌قدر خسته مي‌شويم که حتي فکرکردن به يک برنامه‌ي جديد آزاردهنده است، ورزشي و غيرورزشي هم ندارد
مسیله,کد خبر: ۳۳۱۰۴   تاریخ انتشار: ۱۳۹۵/۰۵/۱۸ روستاهایی که به علت خشکسالی خالی می شوند تا حالا نرفتم اکوسیستم مسیله تخریب شده بحران روستاهای دشت
مسیله,مسیله تمامی ندارد بحرانی که روستاها را تخریب کرد و
درخشیدن,"ویژگی تبلیغات مبتنی بر مکان، در راه توئیتر؟! تیر ۲ام, ۱۳۹۲ سایت خودرو / خرید پاوربانک / آموزش بازاریابی توئیتر، که به دلیل امکانات خوبی که در اختیار کاربران خود قرار میدهد، اکنون به یکی از برترین شبکه های اجتماعی تبدیل شده و همانند یک سد، در سر راه بزرگانی همچون: فیس بوک، اسکایپ قرار گرفته و مانع از درخشیدن و عروج آن ها شده است! حال به تازگی، منابع معتبر خبر از افزودن ویژگی تازه به این سرویس سر سخت دارند"
بلندکردن,وی در پاسخ به پرسش یکی از شهروندان تهرانی در صدای مشاور سلامت خبرگزاری فارس درباره نحوه صحیح بلند کردن اجسام و کمردرد اظهار داشت: یکی از مواردی که در زندگی روزمره برای تمام افراد در مشاغل و مکان‌های گوناگون به وقوع می‌پیوندد نحوه بلندکردن و جابه‌جایی اجسام است
بلندکردن,وی افزود: در بلند کردن اجسام باید به این مسئله توجه کرد که جسم مورد نظر متناسب با توان بدنی فرد باشد و اگر فرد این توان را ندارد که آن جسم را بلند کند نباید به تنهایی به بلندکردن آن اقدام کند
جازدن,» داستان تلاش عده‌ای برای جازدن خود به‌عنوان طراح لوگوی «هما» داستان تلاش برخی برای این‌که طرح لوگوی هما را پس ازانقلاب اسلامی به نام خود بزنند نیز جالب است
شتری,در باغات مبارزه با بیماری لب شتری در باغات هسته
شتری,در باغات مبارزه با بیماری لب شتری در باغات هسته
جداشدن,دلالانی که در ازای دریافت مبالغی مشخص فرایند جداشدن همسران
واداشتن,» با انتشار تازه‌ترين گزارش يوكيا آمانو، مديركل آژانس بين‌المللي انرژي درباره برنامه هسته‌اي ايران يك‌بار ديگر موضوع اعمال فشار و تحريم‌هاي بيشتر عليه جمهوري اسلامي به منظور واداشتن تهران به توقف برنامه اتمي‌اش، روي ميز ديپلمات‌هاي غربي قرار گرفت
سیه,دیگر عوامل این سریال عبارتند از: مشاور کارگردان و بازیگردان: محمدرضا فاضلی / مدیر تصویربرداری: محمد ناصری / مدیر تولید: ایرج طایفه غلامی / طراح صحنه و لباس: رضا درگزی / طراح گریم: زهره سیه پوش / مدیر صدابرداری: امیر عاشق حسینی /  آهنگساز: محمد محمدعلی / تدوین: موحد شادرو ـ نوید توحیدی / مدیر برنامه ریزی: فرزاد رحمانی / دستیار اول کارگردان: مهدی سهرابی / دستیار دوم: علی بی آبی / مدیر تدارکات: امیرهوشنگ حسینی/ منشی صحنه: علیرضا فرحزادی / عکاس و تصویربردار پشت صحنه: پیام نصیری خرم / مدیر روابط عمومی: رسول شادمانی / مجری طرح: افق رسانه پاسارگاد
اوردن,اوردن تا وقتی حمایت های مسخره از ایران خودرو باشه به همین رویه ادامه میدن   ۱۳۹۵-۰۲-۱۷ پاسخ ↓ (تعداد دیدگاه:  1) قیمت جهانی این ماشین ۲۰ میلیون تومان است
سیه,"چهارشنبه 8 شهریور 1391 - 09:14:42 | کد مطلب: 182754 چاپ نوشیدنی‌های انرژی‌زا عملکرد قلب را افزایش می‌دهد زندگی > تغذیه - همشهری آنلاین: نتایج پژوهش محققان دانشگاه ""سیه نا"" ایتالیا حاکی از آن است که مصرف نوشیدنی‌های انرژی‌زا می‌تواند اثرات مثبتی را بر عملکرد میوکارد قلب داشته باشد"
کیفور,"com/Feed""></script> خبرهای لیلا مهمترین فیلم‌های زنانه سینمای ایران   ستاره ها   ۲ هفته پیش ایران جدا از این‌که یک‌بار دیگر بازیگری لیلا حاتمی را اثبات می‌کند و باز هم جدی گرفتن بیشتر نعمت‌اله را به یاد سینما می‌اندازد و مخاطب را کیفور می‌کند از صدای همایون شجریان و آهنگ پورناظری؛ توانایی، ظرفیت و داشته‌های سینما برای نشان‌ دادن زندگی زن از نمای نزدی"
شتری,بابای سوفیا اندازه قاچ شتری هندوانه یک لبخند نشاند روی صورتش و گفت: چه بانکی؟ گفتم: بانک
گند,تبریک میگم» گفت:  «داداش خط واگذار شده» گفتم: «میشه محمود باشی؟ گند نزن به داستان تو رو  خدا» گفت «باشه
گند,"1,825 views نظرات علی سه شنبه ۱۱ اسفند ۱۳۹۴ موسسه ثامن،موسسه کوثر،موسسه عسکریه،موسسه افضل توس وبانک اینده هنوز سود کوتاه مدت ۱۹٫۵ درصد وبیشتر میدهد بنده خدا سه شنبه ۱۱ اسفند ۱۳۹۴ تا کور شه چشم حسود ،که فقط بلدی کم کنی و حال گیری کنی مبادا مردم پولدار شن درامدشون بالاره با اون تورم ساختگیت علي سه شنبه ۱۱ اسفند ۱۳۹۴ انشالااااا که خدا خیرت نده!!! م سه شنبه ۱۱ اسفند ۱۳۹۴ بانک دی منظورشه هه چهارشنبه ۱۲ اسفند ۱۳۹۴ اقی سیف شما خودت نمیدونی داری چکار میکنی باور کن مردم رو به تمسخر گرفتی با این کارتون کسی پولاشو تو بانکها و موسسات نمیذاره با این درصد سود ز چهارشنبه ۱۲ اسفند ۱۳۹۴ الهی سیف خیر نبینی و در آن دنیا مجازات سخت شی کلا مملکت رو به گند کشیدین"
ایین,حامد مظاهریان در گفتگو با خبرگزاری صداو سیما گفت:ایین‌نامه لیزینگ مسکن در بانک مرکزی نوشته شده و در صف تصویب شورای پول و اعتبار قرار گرفته است و اردیبهشت ماه در شورای عالی پول و اعتبار تصمیم گیری می شود
سنجیدن,کد خبر: ۲۱۶۷۵۸   تاریخ انتشار: ۱۳۹۶/۰۲/۱۴ است بیشتر از آرای منفی روحانی است سنجیدن آرای منفی
دوشیزه,در اختیار شوهر بودن در خلوت، سهل گیری، نرم خویی، حافظ حیثیت شوهر بودن در غیاب او، عیب پوش بودن و دوشیزه بودن از دیگر خصوصیات زنان مناسب ازدواج تشخیص داده شده است
تاباندن,چارلز گربا استاد میکروبیولوژی دانشگاه آریزونا با تاباندن لیزر بر این فضاها مشاهده کرده است که چگونه ویروس ها و باکتری ها در جاهایی که به ذهن هیچ کدام از ما نمی رسد زندگی می کنند و نقش بالایی در ابتلای ما به بیماری ها دارند
گستردن,دیپلماسی رسمی است که با گستردن بحث های فوری با
جابهجایی,کد خبر: ۱۰۶۰۰۲   تاریخ انتشار: ۱۳۹۵/۰۶/۰۲ شدن به آخرین ماه تابستان و فصل جابهجایی مستاجران داغتر
تمثیل,فیلمی که بهتر است آن را نماد واقعی تمثیل «کنجکاوی زیاد سر انسان را به باد می دهد» بدانیم در مورد انتقام، ترحم و انسانیت برای رسیدن به یک حقیقت است
سنجیدن,کد خبر: ۱۶۸۰۴۱   تاریخ انتشار: ۱۳۹۶/۰۵/۲۱ باید پس از سنجیدن همه جوانب تصمیم بگیریم من فکر
گند,بوی گند ادرار و مدفوع هم بدتر از هر چیزی سلول را پر کرده بود
مسدس,"لاتزال هناك 2477 إمرأة إيزدية سبية لدى داعش! الجمعة 14 إبريل 2017 - 14:26 بتوقيت غرينتش العثور على رفات أكثر من 1600 إيزيدي بمقابر جماعية بسنجار الإثنين 10 إبريل 2017 - 06:41 بتوقيت غرينتش رايتس ووتش تدعو لتحويل ""الخسفة"" إلى نصب تذكاري +فيديو الخميس 23 مارس 2017 - 08:25 بتوقيت غرينتش ""الخسفة"" في الموصل تتحوّل إلى مقبرة جماعية ! الثلاثاء 7 مارس 2017 - 11:47 بتوقيت غرينتش ""داعش"" ينحر 25 مدنياً كالأضاحي في مجزرة نينوى السبت 24 سبتمبر 2016 - 12:42 بتوقيت غرينتش مسدس عزت الدوري الشخصي بحوزة استخبارات العصائب السبت 18 إبريل 2015 - 14:33 بتوقيت غرينتش بالفيديو، تفاصيل مجزرة سبايكر ومقابر جماعية اخرى بتكريت الجمعة 3 إبريل 2015 - 05:49 بتوقيت غرينتش"
گند,اگرچه بین بید‌‌ار شد‌‌ن و بید‌‌ار نشد‌‌ن هنوز اختلاف نظره ولی به نظر می‌رسه این سیرها ممکنه برای گند‌‌زُد‌‌ایی از د‌‌ل و رود‌‌ه ما حسابی به کار بیاد‌‌
امدن,قانونی در بحث های مدیریت اقتصادی وجود دارد که می گوید از بیست درصد ازعلل باعث بدست امدن هشتاد درصد از نتایج می شود
علفی,حسن آذرون‌جعفرآباد در گفت‌وگو با ايسنا، گفت: آویشن، یکی از شناخته‎ترین گیاهان دارویی است که گیاهی علفی و معطر است و از تیره نعناع به‌ شمار می‌رود
جداشدن,449 یورو هرچند که رنگلر حس یک خودرو کانورتیبل را به صورت متعارف نمی‌دهد اما این آفرودر آمریکایی به عنوان یک خودرو کانورتیبل در این لیست قرار می‌گیرد و نسخه با قابلیت جداشدن سقف آن به صورت 5 سرنشین هم اکنون در حال عرضه است
شیلینگ,کد خبر: ۲۷۷۸۲۸   تاریخ انتشار: ۱۳۹۶/۰۵/۱۶ زمان واحد پول انگلستان پوند استرلینگ برابر با 20 شیلینگ
جاافتاده,نوابی با اشاره به سابقه تشکیل سازمان حمایت که از ادغام سازمان بازرسی و نظارت بر قیمت و توزیع کالا و خدمات تشکیل شده است، تصریح کرد: این سازمان قیمت‌گذار نیست و اشتباه جاافتاده است چرا که سازمانی در درون حاکمیت است و نگاه حاکمیتی دارد
