word,sentence
ضربی,حملات آبی پوشان العین ادامه یافت و در دقیقه 19 کایو لوکاس بازیکن برزیلی این تیم پشت محوطه 18 قدم استقلال، شوت سر ضربی را راهی دروازه رحمتی کرد که با خوش شانسی کاپیتان استقلال به دیرک عمودی دروازه برخورد کرد و به بیرون رفت
جداشدن,شده است البته بذرپاش پس از جداشدن از دولت احمدی
کشدار,» همان زنی که چند دقیقه قبل، تا شانه داخل گور بود و حالا خودش را بالا کشیده، دست‌های پینه بسته‌اش را با پشت لباس بلند قهوه‌ایش پاک می‌کند و کشدار می‌گوید: «‌هاااااااا؟ میام الان»
شتری,این استاد دانشگاه در ادامه در خصوص کینه شتری امریکا
علفی,کد خبر: ۴۶۶۶۲   تاریخ انتشار: ۱۳۹۶/۰۵/۰۴ انتخاب و کاشت دانه های علفی ای که در مقابل
امدن,چودری اسد علی ، از افسران پلیس در کراچی با حضور در محل حادثه به خبرنگاران گفت : تروریستها با امدن به کلینک این پزشک ، وی را با شلیک چند گلوله به قتل رساندند
خز,کارگردان فیلم‌هایی چون «چاقو در آب»، «تنفر»، «بن‌بست»، «قاتلین بی‌باک خون‌آشام»، «بچه رزماری»، «محله‌ چینی‌ها»، «پیانیست» و  «ونوس در پوست خز»، اخیرا ساخت جدیدترین فیلمش با عنوان «بر اساس یک داستان واقعی» را در پاریس به اتمام رسانده است
تمثیل,تاريخ انتشار: 10:28 - ۱۳۹۵ دوشنبه ۶ دي کد خبر: 71468 تعداد نظرات : 0 تمثیل فوتبالی بازیگر مشهور برای رسانه ملی +عکس احمد نجفی، بازیگر نقش تیمسار رزم‌آرا در سریال معمای شاه، داشتن تولیدات ملی فاخر در رسانه ملی را شبیه داشتن یک تیم ملی فوتبال خوب دانست
ایین,به گزارش خبرگزاری کشاورزی ایران ایانا در این ایین
تاباندن,سپس تاباندن نخ ابریشم جهت استحکام بخشی نخ که به تعداد دو یا سه یا پنج لا با هم تاب می‌دهند
اوردن,وی افزود با اوردن سرمایه گذاران خارجی در واقع مدیریت و تکنولوژی را همزمان به کشور آوردیم ضمن اینکه برای دولت بدهی هم بوجد نیامده است
ساییدن,دست ها و بدن را به آرامی بشویید و محکم نسابید، زیرا ساییدن پوست را فرسایش می دهد و اگزما را بدتر می کند
صادرکردن,تنها محدودیت استفاده این سوپرکارت های امنیتی، هزینه اولیه صادرکردن آن است که به مشتری تحمیل می شود، اما در عوض نسبت  به کارت های قدیمی مطمئن تر هستند و خطر سرقت اطلاعات امنیتی در آنها بسیار کمتر است
فراگرفتن,به گزارش  صبحانه ، آنچه می‌توان از تحقیقات و مقالات مختلف در زمینه درآمدزایی و اینکه چگونه بتوانیم به فرد ثروتمندی تبدیل شویم نتیجه گرفت این است که باید در کنار فراگرفتن نحوه درآمدزایی، باورها و تفکرات درستی را نیز در ذهن خود پرورش دهیم
