word,sentence
گستردن,اما مشکلات از جایی شروع می شود که عده ای سودجو با گستردن دام های گوناگون به دنبال شکار این افراد مشتاق و به عبارتی سر کیسه کردن آنها هستند
سیه,در قیامت، برخى نورانى، سفید رو و روسفید و برخى دیگر، سیه رو، رو سیاه و چركینند و غسلین (چركابه) كه طعام تبهكاران است: فلیس له الیوم ههنا حمیم ولا طعام الا من غسلین لا یاكله الا الخاطئون(3) از غفلت‌ها نشئت مى‌گیرد
دریده,»(نهج البلاغه ، ص 159) و در جایی دیگر می فرمایند: «هر که به چیزی عشق ناروا ورزد، نابینایش می کند و قلبش را بیمار کرده با چشمی بیمار می نگرد و با گوشی بیمار می شنود، خواهشهای نفس پرده ی عقلش را دریده ، دوستی دنیا دلش را میرانده است
کشدار,تا چند ماه پیش همه ‌چیز عالی بود تا این‌که بحث و جدل‌ها سر مسائل کوچک، کشدار شد و هر بحث به دعوایی پرسروصدا ختم و در نهایت کار به کتک‌کاری کشید
اژانس,ما هم اساسنامه اژانس و هم قرار داد پادمان و هم پرودکل الحاقی را داریم و در این چارچوب عمل میکنیم
اژانس,معاون رییس جمهور در پاسخ به اینکه ایا مشکل خاصی در روند بازرسی ها بوجود امده که ایران بخواهد مانع دسترسی اژانس شود نیز گفت: در تمامی بازدید ها اژانس در چارچوب عمل میکند زیرا اگر غیر از این باشد دستور عمل ما این است که در چارچوب مقررات جاری و موجود عمل کند
طفیلی,اقتصادها که طفیلی ترین نوع کسب و کار در جهان
دریده,موسوی  گفت: جای دندان های تیز فرو رفته بر ناحیه شکم، پهلو و پشت بدن این کودک  هنوز هویدا بود و صورتش و دست و پایش نیز خونین و خاکی بود و حتم دارم که  لباس ضخیم و زمستانی کودک مانع از دریده شدن بیشتر بدنش شده بود
جاافتاده,معمولا در حزب‌هاي جاافتاده انشعاب‌ها دير به دير اتفاق مي‌افتد
جابهجایی,البته انتظار داریم تا با پیادهسازی کامل همه سامانههای در دست برنامهریزی امکان جابهجایی یک محموله را بدون بارنامه و شفافیت کامل در قالب ساختارهای جدید تعریف شده به حداقل ممکن برسانیم
سنجیدن,"عجیب‌ترین آزمایش دوام گوشی، آیفون در برابر قطار! مرداد ۴ام, ۱۳۹۳ سایت خودرو / خرید پاوربانک / آموزش بازاریابی در سراسر جهان آزمایش‌های متعددی برای تعیین میزان قدرت بدنه موبایل‌ها انجام می‌شود که هریک هدفی را دنبال می‌کنند و به‌نوعی می‌خواهند خوب بودن یا ضعیف بودن بدنه یک گوشی را به اثبات برسانند ولی در عجیب‌ترین آزمایش دوام گوشی، آیفون در برابر قطار! قرار گرفت که شاید بی‌رحمانه‌ترین آزمایش برای سنجیدن قدرت بدنه یک تلفن‌ همراه در طول تاریخ فناوری به‌حساب بیاید"
سنجیدن,محمدی  اظهار نظر مسئولان اتحادیه را مبنی بر اینکه میدان مرکزی میوه و تره بار  هیچ ارتباطی با کشاورزان ندارد زیر سوال برد و گفت: یک سری بارها که وارد  میدان مرکزی میوه و تره بار می شود مال حجره داران است در صورتی که آنان  ادعا می‌کنند کشاورز خودش پس از سنجیدن جو بازار قیمت را تعیین می کنند
خز,شد کانال تلگرامی به نام بوشهر خز در اقدامی مجرمانه
دریده,رمیده لاشه 10 راس گوسفند دریده شده توسط گرگ ها
حنبلی,علی لاریجانی تصریح کرد: ما همه مسلمانان اعم از حنفی، مالکی، حنبلی، شافعی، شیعه همه مسلمان هستیم و کتاب و پیامبر واحدی داریم و به سوی یک قبله نماز می گزاریم و اصول واحدی از نظر اعتقادی داریم لذا سنگر گیری برخی سیاستمداران و کشورها پشت هر یک از این مذاهب را یک فریبکاری و خدعه نابکارانه می دانیم
سیه,متن این جوابیه به شرح زیر است: چه کسی از آقای جعفرزاده رضایت خواست که می گویند؛ رضایت نمی دهم!/ ادعاهای ایشان مبنی بر 700 مورد نشر اکاذیب و توهین کذب محض است / اسناد مورد ادعا را منتشر کنید تا سیه روی شود هرکه در او غش باشد! مدتی است که خبر محکومیت اینجانب و همکار دیگرم، به شلاق صدر رسانه های بیگانه و سایت های خبری کشور قرار گرفت
سیه,"همچنین از آقای جعفرزاده تقاضا دارم اسناد توهین و نشراکاذیب ما را جهت تنویر افکار عمومی و اطلاع مردم منتشر کنند تا سیه روی شود، هرکه در او غش باشد! جناب آقای جعفرزاده در قسمتی دیگر از مصاحبه خود با استفاده از الفاظ توهین آمیز می گویند؛ "" که اینجانب و همکار رسانه ای دیگرم از نظر ایشان خبرنگار نیستیم و از وزارت ارشاد کارت خبرنگاری نداریم!"" در این خصوص نیز باید عرض کنم که اولا اینجانب نزدیک به 10سال است به طور مستمر با رسانه های گیلان همکاری داشتم، عضو خانه مطبوعات گیلان بودم و رزومه ده ساله فعالیت کاری ام نیز بطور کامل موجود است"
اگاهانه,در این پیام همچنین نوشته شده است: یقیناً اطلاع‌رسانی صادقانه، اگاهانه و به موقع و برخورد هوشمندانه با مسائل منطقه‌ای و تروریسم رسانه‌ای خصوصاً در مسائل منطقه‌ای و واقعیات یمن، عراق، سوریه و تقابل با جلوه‌های جهالت مدرن، صحنه آزمونی برای اصحاب رسانه است
اهنگ,این ویدیو اجرایی متفاوت از اهنگ زیبای paradise که توسط ThePianoGuys با سبک افریقایی اجرا شد
اهنگ,این ویدیو اجرایی متفاوت از اهنگ زیبای paradise که توسط ThePianoGuys با سبک افریقایی اجرا شد
کیفور,هیچ می‌دانید «چرچیل» هم جایزه نوبل ادبیات گرفته؟ نه به خاطر نوشتن داستان یا رمان بلکه به خاطر نوشتن زندگی‌نامه! ضمناً از کسانی که فیلم را دیده‌اند و آب از دهان‌شان راه افتاده و کیفور شده‌اند یک سوال دارم؛ شما واقعا چه چیزی دیدی که این‌همه سوتی را ندیدی؟ نیم مثقال استقلال رأی داشته باش رفیقم؛ یک اَرزَن! کد مطلب: 129105
افسونگر,"در این کنسرت موسیقی که طی روزهای یاد شده ساعت 18 و 21:30 در مرکز همایش های برج میلاد به رهبری بردیا کیارس برگزار می شود منتخبی از قطعات دفتر دل، سکوت، ""افسونگر، تو کیستی از اشعار فریدون مشیری، هوای گریه، فریاد غم از اشعار سیمین بهبهانی، غمگسار، غریبانه از اشعار هوشنگ ابتهاج، سنگ دل از اشعار احمد سهیلی، با ستاره ها، دشت بی حاصل از اشعار حسین منزوی، نسیم وصل از اشعار رهی معیری، عشق از کجا، خانه سودا از اشعار مولانا و نسیم سحر با شعری از سعدی برای علاقه مندان موسیقی اجرا می شود"
سیه,ما تشنه دیدار توییم ای نور زمین و سماوات! سیه روییم و در سپیدی بحر عنایت خویش، غسیل مان کن و با دلی پاکیزه بر خوان ضیافت رمضان، اذن جلوس مان ده
خضاب,صدایی میان آسمان و زمین فریاد می‌زند که؛ ارکان هدایت در هم شکست! «تهدمت والله ارکان الهدی و انطمست اعلام التقی و انفصمت العروة الوثقی» علی علیه‌السلام نماز را چونان روزهای دیگر، به افق حضور خوانده و سر نماز بوده که ضربت شمشیر مرادی به نیابت از همه طواغیت، انتقام از عدل مجسم الهی گرفته و بر فرقش فرود آمده و مرادی به نیشخند می‌خندد و می‌گوید: آن چنان شمشیرم را زهرآگین کردم که چون ضربتی بر اهل عالم می‌زدم همه از بین می‌رفتند! محاسن سپید علی علیه‌السلام با لخته‌های خون فرق سرش خضاب شده
خضاب,همان بشارتی که داده بود که؛ خضاب نمی‌کنم مو و محاسنم را مگر به خون فرق سرم! فرقش شکافته و او نه فریادی می زند و نه شکوه‌ای می‌کند و نه حتی نفرینی، آهی
خضاب,به اینکه چرا وقتی از پیامبر صلی الله علیه و آله افضل اعمال شهرالله را پرسید و حضرت پاسخ داد، گریست! و آنگاه که علی علیه‌السلام علت گریه حضرت را جویا شد، ایشان فرمودند: می‌بینم که در این ماه اشقی الاولین و الاخرین محاسنت را با خون سرت خضاب می‌کند
بلندکردن,در  نهج‌البلاغه چهار چیز آفت شمرده شده؛ ظلم به مردم، بلندکردن بیت‌المال  مسلمین، فامیل‌بازی و دیگری رشوه‌خواری
