word,sentence
مسیله,دو نمونه قابل ملاحظه از این تلاش ‌ها، یکی تکاپوی علامه طباطبایی و آیت‌الله مطهری در نمودن ضعف‌ های معرفت‌شناسانه مارکسیسم بود و دیگری کوشش آیت‌الله صدر برای حل مسیله استقراء
مسیله,این دو نمونه، دو نمونه کم ‌و بیش استثنایی از رویکرد «مسیله‌محور» حکیمان مسلمان با توجه به مسایل نوظهوری بود که در جهان مدرن و در عرصه معرفت‌ پژوهی نمودار شده بود
مسیله,به نظرم هر چند هر دو کوشش بدیعی که مورد اشاره قرار گرفت، با محدودیت ‌های معرفت‌شناسانه مواجه بود، اما نفس این تکاپوها بسیار برکت‌خیز و راه‌ گشا بود و حکایت‌گر این واقعیت که اگر رویکردهای مسیله‌محور با گزینش مسایل مناسب بار دیگر در دستور کار متفکران مسلمان قرار گیرد، محصول تکاپوی معرفتی آنان اگر از دستاوردهای همتایانشان در دیگر اقطار عالم برتر نباشد فروتر نخواهد بود
مسیله,این ضعف‌های سه ‌گانه نه تنها از رشد و پویایی «فلسفه اسلامی» به منزله یک رویکرد عقلی مسیله‌محور جلوگیری کرده، که در عین حال تبعات اجتماعی و سیاسی خطرخیزی را نیز دامن زده است
مسیله,تحولاتی که اینجا و آنجا احیانا در حوزه و دانشگاه در حال شکل ‌گیری است زمینه را برای اعاده فرهنگی که در آن رویکردهای مسیله ‌محور و توجه به مکملیت دانش‌های جدید و تکاپوهای نظری و فلسفی سهم اساسی دارد، فراهم آورد
جگری,دکتر گویا ضمن اعلام اینکه بیماری تب کریمه کنگو از طریق خوردن گوشت، منتقل نمی‌شود، افزود: به‌خلاف تصور بسیاری از افراد، این بیماری از طریق خوردن گوشت منتقل نمی‌شود و گوشت یا جگری که در شرایط مناسب بهداشتی نگهداری شده و خوب پخته شده باشد، امکان انتقال تب کریمه کنگو را به صفر می‌رساند
امدن,گرایان مذهبی اجازه سازش و کوتاه امدن نمی دهند و
نخودی,این منطقه ها بر حسب رنگ طبقه بندی شده بود؛ عبارتند بودند از : رنگ آبی برای غرفه های ملی که دستاوردهای ملی کشورها در انها ارائه می‌شد، خاکستری برای پژوهش و نو آوری، که یافته پژوهشی و مرتبط با نو آوری در انها عرضه می‌شد، رنگ نخودی برای  راه حل‌های الکترونیک که در واقع مکان‌های ارائه سلوشن‌های گوناگون بود، سبز روشن برای دسترسی فراگیر (نرم افزاری و سخت افزاری) و بالاخره رنگ بنفش برای  غرفه‌هائی که محور اصلی انها  مقولات توسعه و مشارکت در جامعه اطلاعاتی بود
کشدار,این حرف یعنی ضربه ای کشدار به اداره عمودی اینترنت از سوی آمریکا و اعلام مقبولیت مدل افقی برای اداره آن
صادرکردن,وی در ادامه گفت: ما از تلاش‌های چین برای ایجاد صلح در منطقه استقبال می ‌کنیم و از اظهارات وزیر امور خارجه چین تقدیر و تشکر می ‌کنیم اما آیا ایران برای این میانجیگری آماده است؟ ایران قبول نمی ‌کند، ایران سیاست صادرکردن انقلابش را در پیش گرفته است
