word,sentence
برپاکردن,در رابطه با پیشینه برپاکردن آیینی به نام چهارشنبه‌سوری در منابع کهن چیزی وجود ندارد و ابوریحان بیرونی هم که به دقت از مراسم زرتشتیان یاد می‌کند، جز سپندارمذگان و آتشی که پیش از نوروز برپا می‌شود، یادکردی از چهارشنبه‌سوری ندارد
پیچاندن,ازغندی، شکنجه‌گر معروف، دستگاه فرنچ (وسیله‌ای که دور گردن قرار می‌گرفت و با پیچاندن پیچ، هر لحظه محکم‌تر می‌شد و راه تنفس را می‌بست) را دور گردن آقای هاشمی قرار داد و آن را پیچاند
تمثیل,رابعا: با توجه به نکات یاد شده و ضمن پوزش از رئیس جمهور محترم، ایشان در تمثیل مورد اشاره خویش، صورت مسئله را تغییر داده اند و حال آن که باید می پرسیدند و یا باید از ایشان پرسید؛ اگر در یک مسابقه فوتبال، یکی از اعضای تیم کشورمان، چندین بار متوالی به دروازه خودی گل بزند! واکنش منطقی و عاقلانه تماشاگران و منتقدان چه خواهد بود؟ و چه باید باشد؟ آیا غیر از این است که از سرمربی می خواهند بازیکن خطاکار و یا غیرحرفه ای را «تعویض»! کند؟! اما اگر معلوم شود خطای بازیکن مورد اشاره به علت راهنمایی ها و راهکارهای غیرحرفه ای و غلطی بوده است که خود سرمربی به وی ارائه کرده بود، از تماشاگران و منتقدان چه انتظاری هست؟ آیا انتقاد - و حتی نه اعتراض- به سرمربی کمترین و ابتدایی ترین حقی نیست که بایستی تماشاگران و منتقدان دلسوز از آن برخوردار باشند؟! بدیهی است در هیچیک از دو حالت یاد شده- که حالت سومی هم ندارد- هیچکس حریف را تشویق نمی کند، که نکرده است و البته هیچکس هم برای بازیکنی که به دروازه خودی گل می زند و سرمربی که به وی راهکارهای خطا می دهد، کف نمی زند و نباید بزند! 2- این واقعیت اگرچه تلخ و ناگوار است ولی متأسفانه قابل انکار نیست که انتقاد اخیر رئیس جمهور محترم از منتقدان- باز هم با عرض پوزش- به دولت ایشان باز می گردد
فکرکردن,آیت‌الله حیدری در دومین روز از افتتاحیه مجلس پنجم خبرگان رهبری:چهارشنبه ۵ خرداد ۱۳۹۵ انتخاب آیت‌الله جنتی، مصداق انقلابی عمل‌ کردن خبرگان است نماینده مردم خوزستان در پنجمین دوره مجلس خبرگان رهبری گفت: حضور آیت‌الله جنتی در رأس مجلس خبرگان، موجب یأس و ناامیدی دشمنان و مصداق انقلابی فکرکردن و انقلابی عمل‌کردن مجلس خبرگان رهبری است و در واقع لبیک به مقام معظم رهبری بود
دریافتن,شما در حال حاضر باید تمرکزتان را روی دریافتن علت بگذارید
جادادن,برای مثال جادادن کتاب‌ها هنگامی که کارتن‌های کتاب جلوی چشم‌هایتان سر به فلک کشیده اند سخت‌ترین کار دنیاست اما ایجاد کتابخانه‌های جالب که فضای کمی را اشغال می‌کنند می‌تواند هم به نوعی نقش دکوراسیون تزیینی را داشته باشند و هم جایی مناسب برای نگهداری کتاب‌های شما باشند
ارام,شما با سخنرانی خود در جمع روانپزشکان به جای ارام سازی جو سیاسی به اختلافات دامن زدید
نخودی,ترکیب تیم کشتی آزاد نوجوانان ایران مشخص شد   مرور نیوز   ۶ روز پیش نیوز، ترکیب تیم ملی کشتی آزاد نوجوانان اعزامی به رقابت های جهانی یونان به شرح زیر است:  ۴۲ کیلوگرم: مهدی ویسی ۴۶ کیلوگرم: سید عرفان جعفریان ۵۰ کیلوگرم: محمد خدابخشی ۵۴ کیلوگرم: مهدی عشقی ۵۸ کیلوگرم: مرتضی پورمرتضوی ۶۳ کیلوگرم: امیرحسین مقصودی ۶۹ کیلوگرم: محمد نخودی ۷۶ کیلوگرم: میثم زارع ۸۵ کیلوگرم:
امدن,وی با اشاره به اینکه ظرف ۴ دوره شوراها شاهد روی کار امدن ۱۶ شهردار در زنجان بودیم اظهار داشت: این امر وضعیت مطلوبی نیست چرا که در هر دوره بطور میانگین ۴ شهردار تغییر کرده اند و طول عمر کوتاه شهرداریها منجر به عدم برنامه ریزی بلند مدت در خصوص توسعه شهری می گردد
خواباندن,تاريخ : نکاتی درباره تختخواب نوزاد معمولا نوزادان و کودکان تمایل دارند که برای خوابیدن در آغوش گرفته شوند، اما در آغوش گرفتن و خواباندن نوزادان به طور مداوم و همیشگی برای والدین امکانپذیر نیست
